event,detId,x,y,z,width,isSeed,mip,modType
9,439889970,169,0,0,7,0,1,2
9,439616630,887,0,0,2,0,0,2
9,439889969,111,19,3,1,1,0,2
9,439889969,155,21,5,2,1,0,2
9,439889969,172,22,6,1,1,0,2
9,437524538,123,0,0,1,0,0,2
9,437524538,133,0,0,2,0,1,2
9,437524537,122,9,9,1,1,0,2
9,439616629,889,21,5,1,1,0,2
9,412140778,764,1,0,3,0,0,1
9,412140777,763,1,0,2,1,0,1
9,420529249,668,1,0,1,1,0,1
9,411870406,488,1,0,2,0,0,1
9,411870405,487,1,0,1,1,0,1
9,420258898,639,1,0,1,0,0,1
9,420258897,638,1,0,1,1,0,1
9,437787674,763,0,0,1,0,1,2
9,437787673,764,28,12,1,1,0,2
10,411599882,99,0,0,2,0,1,2
10,411599881,101,22,6,1,1,0,2
10,437788714,338,0,0,1,0,1,2
10,419988570,655,0,0,1,0,1,2
10,419988569,656,4,4,1,1,0,2
10,411599886,9,0,0,1,0,0,2
10,437788713,338,29,13,1,1,0,2
10,420250738,401,1,0,1,0,0,1
10,420250737,401,1,0,1,1,0,1
10,411599885,9,25,9,1,1,0,2
10,411862030,590,1,0,1,0,0,1
10,411862029,591,1,0,1,1,0,1
10,420787346,182,0,0,1,0,0,1
10,420787345,182,0,0,1,1,0,1
10,437789738,326,0,0,1,0,0,2
10,437789737,325,4,4,1,1,0,2
10,412398610,325,1,0,1,0,0,1
10,412398609,326,1,0,1,1,0,1
10,437522438,735,0,0,1,0,1,2
10,437522437,733,7,7,1,1,0,2
10,419992666,646,0,0,1,0,1,2
10,419992665,647,30,14,1,1,0,2
10,420516986,376,0,0,1,0,0,1
10,420516985,376,0,0,1,1,0,1
10,412128270,902,0,0,2,0,0,1
10,412128269,903,0,0,1,1,0,1
10,438568970,744,0,0,1,0,1,2
10,438568969,745,6,6,1,1,0,2
10,411329546,464,0,0,1,0,1,2
10,438840378,94,0,0,2,0,1,2
10,438840377,93,8,8,1,1,0,2
10,411329545,465,24,8,1,1,0,2
10,419718218,874,0,0,1,0,1,2
10,419718217,876,9,9,1,1,0,2
11,440145938,950,0,0,2,0,1,2
11,443299878,632,0,0,1,0,0,1
11,443299877,627,0,0,1,1,0,1
11,440145937,947,21,5,1,1,0,2
11,438045706,548,0,0,2,0,1,2
11,438045705,546,14,14,1,1,0,2
11,440163374,270,0,0,2,0,0,2
11,440163373,271,14,14,2,1,0,2
11,438054934,637,0,0,2,0,1,2
11,438054933,640,19,3,2,1,0,2
11,441219130,144,1,0,2,0,0,1
11,441219129,146,1,0,2,1,0,1
11,439095310,217,0,0,2,0,1,2
11,442274878,847,0,0,2,0,0,1
11,442274877,850,0,0,2,1,0,1
11,439095309,215,24,8,1,1,0,2
11,443333698,967,0,0,5,0,0,1
11,443333697,961,0,0,2,1,0,1
11,443333697,964,0,0,2,1,0,1
11,443333697,978,0,0,2,1,0,1
